Data Source,World Development Indicators,,,,,,,,,,,
,,,,,,,,,,,,
Last Updated Date,23/11/2021,,,,,,,,,,,
,,,,,,,,,,,,
Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
IDA & IBRD total,IBT,47.54916,47.58537,47.68455,48.16726,48.17655,48.22523,48.477,48.42442,48.39372,,
IDA total,IDA,47.3944,47.58406,47.82176,47.88029,47.89132,47.99444,47.92129,47.95369,47.87596,,
IDA blend,IDB,46.32793,46.71158,47.33629,47.3633,47.3039,47.21372,46.84979,46.95678,46.74869,,
Indonesia,IDN,49.52885,49.51251,48.49679,48.45504,47.90869,47.8247,47.76931,47.77523,47.77049,,
IDA only,IDX,47.84414,47.95214,48.02806,48.10278,48.1426,48.32526,48.38676,48.38548,48.37032,,
Isle of Man,IMN,,,,,,,,,,,
India,IND,47.78125,47.96006,48.06707,49.94894,49.92135,50.05158,51.11492,50.88245,,,
Not classified,INX,,,,,,,,,,,
Ireland,IRL,48.81102,48.71995,48.82589,48.7468,48.76909,48.75178,48.7217,48.78897,,,
"Iran, Islamic Rep.",IRN,48.49235,48.46139,48.49117,49.31499,50.09566,50.30082,50.43355,50.13443,,,
Iraq,IRQ,,,,,,,,,,,
Iceland,ISL,49.28301,49.32726,49.35516,49.05673,48.89937,48.95799,48.74014,48.58197,,,
Israel,ISR,48.78763,48.80466,48.8111,48.76019,48.77132,48.8202,48.8577,48.85816,,,
Italy,ITA,48.38446,48.31873,48.38069,48.43428,48.40925,48.40607,48.50575,47.77543,,,
Jamaica,JAM,48.62157,48.83292,49.04523,48.22496,48.45511,50.44922,48.76222,48.79946,48.08468,,
Jordan,JOR,48.63635,48.64053,48.52306,48.81618,49.1192,,49.02589,48.95153,48.92256,,
Japan,JPN,,,,48.73982,48.75605,48.74169,48.75428,48.75264,,,
Kazakhstan,KAZ,48.88722,48.83954,48.82281,48.78382,48.72091,48.70358,48.66923,48.97339,48.96945,48.99271,
Kenya,KEN,,,49.84886,,49.78284,49.57786,49.67015,,,,
Kyrgyz Republic,KGZ,48.76648,48.76139,48.70447,48.74936,48.79648,48.8389,48.74961,48.78975,48.7983,,
Cambodia,KHM,47.78671,47.63875,47.74581,47.15295,48.03557,49.0537,48.37189,48.22462,48.1383,,
Kiribati,KIR,,,,,49.43182,49.68269,49.78673,50.81162,,,
St. Kitts and Nevis,KNA,49.40048,49.8248,49.62147,50.09841,49.71986,49.78046,49.30301,,,,
"Korea, Rep.",KOR,47.71846,47.78156,47.84701,47.95209,48.06778,48.22667,48.31583,48.37146,,,
Kuwait,KWT,48.84271,48.8864,49.06331,49.13494,48.91898,48.99862,48.96106,48.10158,48.97198,,
Latin America & Caribbean (excluding high income),LAC,48.26098,48.28173,48.32048,48.41183,48.42877,48.45561,48.49141,48.5035,48.50424,,
Lao PDR,LAO,47.18211,47.44352,47.61386,47.73302,47.83906,48.00321,48.0115,48.14191,48.11446,,
Lebanon,LBN,48.36946,48.31253,48.31458,48.28381,48.3304,48.26668,48.16004,48.24131,48.20531,,
Liberia,LBR,,46.91313,,,46.92687,46.467,48.92962,48.85787,,,
Libya,LBY,,,,,,,,,,,
St. Lucia,LCA,48.83232,49.13729,48.82787,48.41109,48.44383,48.6803,48.62268,49.10926,49.61572,,
Latin America & Caribbean,LCN,48.26571,48.28479,48.323,48.40848,48.42534,48.45123,48.48824,48.49925,48.50008,,
Least developed countries: UN classification,LDC,47.75305,47.63049,47.77257,47.91433,48.0278,48.28444,48.3299,48.31908,48.2923,,
Low income,LIC,47.22963,47.3782,47.47297,47.58623,47.60969,47.8523,47.90368,47.89668,47.87914,,
Liechtenstein,LIE,48.71795,49.35452,48.78788,,49.352,48.55842,47.4975,46.53367,,,
Sri Lanka,LKA,49.08764,48.79448,49.23844,49.20699,49.18338,49.17899,49.12633,49.23196,49.23393,,
Lower middle income,LMC,47.85237,47.8872,48.03913,48.85592,48.81655,48.87967,49.28962,49.19697,49.13284,,
Low & middle income,LMY,47.54687,47.58328,47.68228,48.16702,48.17512,48.22386,48.4765,48.42362,48.39303,,
Lesotho,LSO,49.08112,48.8552,48.95098,49.10263,49.02144,48.91784,48.90813,48.8771,,,
Late-demographic dividend,LTE,46.90468,46.88229,46.96402,47.05973,47.1245,47.05039,47.1103,47.1405,47.17886,,
Lithuania,LTU,48.30391,48.26745,48.56943,48.63063,48.81654,48.92723,48.83886,48.83519,,,
Luxembourg,LUX,48.76517,48.87889,48.43348,48.55603,48.59884,48.66091,48.77136,48.84118,,,
Latvia,LVA,48.46822,48.55544,48.53628,48.5998,48.6822,48.69526,48.72993,48.90129,,,
"Macao SAR, China",MAC,47.623,47.77381,47.69937,47.8566,48.02729,47.85997,47.91194,48.00267,48.17859,,
St. Martin (French part),MAF,,,,,,,,,,,
Morocco,MAR,47.24494,47.41941,47.5664,47.62555,47.60013,47.40253,47.47179,47.48732,47.60808,,
Monaco,MCO,50.71429,49.60227,49.71687,50.08557,49.4863,49.25983,50.12494,49.50446,49.8738,49.57265,
Moldova,MDA,48.48757,48.3133,48.38336,48.50017,48.4771,48.29503,48.40364,48.24057,48.30349,,
Madagascar,MDG,49.42927,49.37493,49.48552,49.5828,49.66747,49.69886,49.72191,,49.79428,,
Maldives,MDV,47.78627,48.29482,48.08103,48.57659,48.32449,48.42775,48.96873,48.78216,,,
Middle East & North Africa,MEA,47.27571,47.17871,47.45646,47.65378,47.8235,47.96047,47.9655,47.97977,48.00201,,
Mexico,MEX,48.87262,48.88663,48.91364,48.89768,48.90757,48.93556,48.97359,49.03784,,,
Marshall Islands,MHL,,47.97566,,,,48.39728,48.84775,,,,
Middle income,MIC,47.60435,47.62132,47.72201,48.27831,48.28837,48.29863,48.59134,48.5314,48.49957,,
North Macedonia,MKD,48.39426,,48.35381,48.40875,48.32246,48.54494,,48.31059,,,
Mali,MLI,45.48931,45.84102,45.94913,,46.26999,46.53807,46.10188,46.42025,46.5862,,
Malta,MLT,48.95737,49.03427,48.7037,48.73811,48.89083,48.8101,48.81837,48.22065,,,
Myanmar,MMR,49.51353,,,,48.99146,,48.9046,48.32562,48.55953,,
Middle East & North Africa (excluding high income),MNA,47.04634,46.92314,47.21358,47.49158,47.6926,47.76535,47.84623,47.80798,47.83834,,
Montenegro,MNE,47.83348,48.185,48.24045,,,47.6174,47.23124,47.60712,46.50275,,
Mongolia,MNG,48.97907,48.91902,48.78519,48.76297,48.95712,49.00121,48.88355,48.87971,48.8393,,
Northern Mariana Islands,MNP,,,,,,,,,,,
Mozambique,MOZ,47.26723,47.43151,47.49853,47.5929,47.7332,47.67912,47.9614,48.05833,48.10345,,
Mauritania,MRT,50.37816,50.59723,50.53434,50.46006,50.62938,50.48446,50.79802,50.90546,50.70468,,
Mauritius,MUS,49.18591,49.22373,49.1807,49.41016,49.51018,49.46818,49.48304,49.48757,49.72,,
Malawi,MWI,50.44136,50.51477,50.43786,50.32932,50.31492,50.32556,50.44968,50.53808,49.94967,,
Malaysia,MYS,48.70222,48.70381,48.6801,48.67401,48.66897,48.66896,48.86587,48.90068,,,
North America,NAC,48.65899,48.9929,48.56276,48.72701,48.84226,48.93117,48.90372,48.75773,48.75774,,
Namibia,NAM,49.26415,,49.11759,49.05066,,,,49.12734,49.21554,,
New Caledonia,NCL,,,,,,,,,,,
Niger,NER,43.79942,44.16318,44.58773,44.7152,45.03959,45.02198,45.21991,45.5647,,,
Nigeria,NGA,46.66385,47.30454,48.36981,48.36981,48.62336,,47.49777,,,,
Nicaragua,NIC,48.47268,,,,,,,,,,
Netherlands,NLD,48.57842,48.62693,48.63369,,,48.61635,48.61961,48.6242,,,
Norway,NOR,48.86806,48.89579,49,48.90386,48.9161,48.84511,48.8087,48.75719,,,
Nepal,NPL,50.07351,50.37347,50.42666,50.47247,50.65942,50.77584,50.77176,50.4483,,50.61224,
Nauru,NRU,,,51.22699,,47.59189,,48.50664,,,,
New Zealand,NZL,48.86052,48.94299,48.90965,48.8464,48.68298,48.64379,48.67068,48.60443,,,
OECD members,OED,48.63092,48.75481,48.64072,48.71856,48.76276,48.79479,48.79657,48.7314,48.73184,,
Oman,OMN,,48.94936,49.20543,50.50137,50.45752,50.0465,49.81026,49.83997,50.21005,,
Other small states,OSS,48.6879,48.61788,48.71366,48.78136,48.80794,48.85673,48.88208,48.90564,48.95147,,
Pakistan,PAK,43.99662,44.13689,44.47322,44.45621,44.06973,44.22964,44.23964,44.54258,44.0147,,
Panama,PAN,48.11164,48.2629,48.2351,48.27937,48.35305,48.31232,48.52663,48.38463,,,
Peru,PER,49.0601,48.91162,48.76558,48.86182,48.95214,48.97068,49.07341,49.06396,49.10449,,
Philippines,PHL,,,,,47.88758,47.77429,47.83106,47.89458,,,
Palau,PLW,,,,46.13059,45.6986,,,,,,
Papua New Guinea,PNG,,,45.46916,,,,46.15865,,,,
Poland,POL,48.50548,48.59465,48.75597,48.75302,48.74074,,,48.71095,,,
Pre-demographic dividend,PRE,46.90547,46.91684,47.30606,47.50763,47.68058,47.90974,47.83241,47.87592,47.86925,,
Puerto Rico,PRI,48.78097,48.79449,48.98048,48.32255,48.1804,48.26821,48.33222,,,,
"Korea, Dem. People's Rep.",PRK,,,,,,49.03028,,,48.89785,,
Portugal,PRT,48.04973,48.07739,48.08358,47.91204,47.74508,47.87332,47.96418,48.11418,,,
Paraguay,PRY,48.08165,48.13325,48.25936,,,,48.15821,,,,
West Bank and Gaza,PSE,48.45805,48.68123,48.52592,49.07681,48.77892,48.93243,48.96891,48.85856,48.9633,,
Pacific island small states,PSS,47.90357,47.9982,48.124,48.21182,47.9984,48.06371,48.09629,48.14643,48.16289,,
Post-demographic dividend,PST,48.57207,48.726,48.57635,48.67212,48.71615,48.75533,48.75188,48.6577,48.66165,,
French Polynesia,PYF,,,,,,,,,,,
Qatar,QAT,48.75624,48.73717,48.95291,49.16527,48.95959,48.98133,48.9353,48.88607,48.8844,,
Romania,ROU,48.32648,48.26069,48.23052,,,48.27793,48.32939,48.27831,,,
Russian Federation,RUS,,48.93806,48.94487,48.9402,48.97821,49.009,48.954,48.68647,,,
Rwanda,RWA,50.744,50.87,50.70377,50.74,50.75036,50.46462,50.07703,49.89549,49.70078,,
South Asia,SAS,47.48296,47.69336,47.8021,49.17337,49.05704,49.15078,49.92541,49.76301,49.65607,,
Saudi Arabia,SAU,49.07939,49.17609,49.43161,48.67667,48.55841,50.03958,48.9866,49.59813,49.49163,,
Sudan,SDN,46.65303,46.30835,46.454,46.66795,47.36169,47.08355,47.59356,47.78577,,,
Senegal,SEN,50.90681,52.33228,52.15323,52.2666,52.281,52.25282,52.28322,53.06947,52.52478,,
Singapore,SGP,,,,,,,48.9451,48.8777,,,
Solomon Islands,SLB,47.62055,47.66586,47.89691,48.16499,47.7285,48.14172,48.09007,48.20104,48.28793,,
Sierra Leone,SLE,,48.79845,49.82772,50.08755,,50.3796,50.28913,50.48385,50.85221,,
El Salvador,SLV,47.79776,47.80705,47.79267,47.80924,47.87779,47.84878,47.94905,48.09294,48.1231,,
San Marino,SMR,50.34876,47.21689,45.61626,,,,,,50.53004,,
Somalia,SOM,,,,,,,,,,,
Serbia,SRB,48.6377,48.62413,48.54649,48.62732,48.75015,48.57747,48.54306,48.47259,48.44485,,
Sub-Saharan Africa (excluding high income),SSA,47.60994,47.54979,47.90228,48.08156,48.22866,48.37857,48.3527,48.37721,48.3655,,
South Sudan,SSD,,39.32516,,,,40.87908,,,,,
Sub-Saharan Africa,SSF,47.61007,47.54994,47.90239,48.08163,48.22871,48.37864,48.35277,48.3773,48.3656,,
Small states,SST,48.61539,48.58914,48.68778,48.6955,48.71822,48.86389,48.79499,48.81759,48.8229,,
Sao Tome and Principe,STP,49.37273,48.80851,48.77998,48.98799,48.59827,48.52354,48.43106,48.67373,,,
Suriname,SUR,48.0692,48.18558,48.09739,48.54386,48.59984,48.43231,48.2492,48.28018,48.1371,,
Slovak Republic,SVK,48.54228,48.54096,48.52836,48.42035,48.54841,48.58924,48.50955,48.66276,,,
Slovenia,SVN,48.39404,48.53103,48.55833,48.58448,48.55618,48.64486,48.64799,48.54514,,,
Sweden,SWE,48.55878,48.59029,48.61604,50.09054,50.02324,49.69649,49.30512,48.96816,,,
Eswatini,SWZ,47.54246,46.99588,47.52445,47.4912,47.55757,47.53857,47.65592,47.63762,,,
Sint Maarten (Dutch part),SXM,,,49.84658,,49.17052,,,,,,
Seychelles,SYC,49.74625,50.13226,49.81037,49.40106,49.26237,49.62113,49.61696,50.03873,50.14042,,
Syrian Arab Republic,SYR,47.91126,48.0219,48.00448,48.09031,,,,,,,
Turks and Caicos Islands,TCA,,,,,49.18776,48.50601,,,48.77717,,
Chad,TCD,42.01653,42.58751,42.84657,43.01192,42.89009,43.28837,43.36174,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,47.26592,47.23846,47.10341,47.12378,47.07714,46.98998,47.03053,47.04842,47.07546,,
Europe & Central Asia (IDA & IBRD countries),TEC,48.59671,48.61217,48.59736,48.63816,48.68325,48.66598,48.64516,48.56428,48.55671,,
Togo,TGO,47.36343,47.56901,47.92226,48.23437,48.402,48.6356,48.63565,48.69193,48.95802,,
Thailand,THA,48.36357,48.36027,48.34392,48.36159,49.01976,47.12686,48.65536,48.52812,48.52339,,
Tajikistan,TJK,48.13676,48.0276,48.18592,48.1777,48.36216,48.30699,48.27063,48.28128,,,
Turkmenistan,TKM,,,,,48.90688,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,48.26441,48.28413,48.32143,48.41056,48.43878,48.4672,48.50167,48.51354,48.51194,,
Timor-Leste,TLS,47.88444,47.85816,47.91665,48.14932,48.65709,48.62641,48.47072,48.2873,48.2605,,
Middle East & North Africa (IDA & IBRD countries),TMN,47.03119,46.90403,47.19927,47.47481,47.68097,47.75287,47.83428,47.79665,47.82625,,
Tonga,TON,47.151,47.33165,47.56126,47.86389,47.66864,47.41491,,,,,
South Asia (IDA & IBRD),TSA,47.48296,47.69336,47.8021,49.17337,49.05704,49.15078,49.92541,49.76301,49.65607,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,47.61007,47.54994,47.90239,48.08163,48.22871,48.37864,48.35277,48.3773,48.3656,,
Trinidad and Tobago,TTO,48.45984,,,,,,,,,,
Tunisia,TUN,48.0089,48.05773,48.20321,48.06126,48.14546,48.1586,48.21524,48.09085,48.02835,,
Turkey,TUR,48.67974,48.7715,48.6408,48.82417,48.87686,48.81608,48.81839,48.69883,,,
Tuvalu,TUV,,,,,47.43139,47.51344,46.97885,,46.52568,,
Tanzania,TZA,50.07582,50.45235,50.16171,50.60338,50.77531,50.83528,50.62297,50.31895,50.09162,,
Uganda,UGA,50.09643,50.11564,50.07671,50.12226,,50.1149,50.38689,50.28032,,,
Ukraine,UKR,48.79522,48.87233,48.93492,48.95548,49.01842,49.02797,48.99609,48.9128,48.89225,,
Upper middle income,UMC,47.23056,47.21184,47.22279,47.3681,47.44385,47.36998,47.45274,47.46026,47.48963,,
Uruguay,URY,48.15947,48.20959,48.22312,48.26571,48.3254,48.31537,48.32056,48.45141,,,
United States,USA,48.65033,49.0147,48.54171,48.71871,48.83788,48.93702,48.91652,48.75848,,,
Uzbekistan,UZB,48.45301,48.34564,48.37393,48.38957,48.39801,48.39757,48.37809,48.3306,48.30576,,
St. Vincent and the Grenadines,VCT,47.66193,48.70912,48.49033,48.13726,48.67059,48.84748,48.87321,49.0327,49.34839,,
"Venezuela, RB",VEN,48.19643,48.26757,48.39436,48.53248,48.40171,48.27519,48.27719,48.28194,,,
British Virgin Islands,VGB,48.57857,48.02422,48.2933,47.82609,47.48245,46.72424,46.66062,46.91062,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,
Vietnam,VNM,47.26326,47.34723,48.55201,47.73635,47.92565,47.8702,47.94899,47.85385,47.84365,,
Vanuatu,VUT,47.34427,,,47.26919,,47.33404,,,,,
World,WLD,47.66035,47.70734,47.78197,48.22063,48.23253,48.28504,48.50568,48.4537,48.42648,,
Samoa,WSM,48.11636,48.58339,48.50514,,48.37012,48.17489,48.37108,48.09408,48.00592,,
Kosovo,XKX,,,,,,,,,,,
"Yemen, Rep.",YEM,43.97531,43.93983,44.28364,44.65651,,,45.59546,,,,
South Africa,ZAF,48.63908,48.56058,48.50688,48.48119,48.56082,47.82259,48.70814,48.65321,,,
Zambia,ZMB,50.10781,49.63909,49.97305,49.89592,49.85046,49.80078,50.18126,50.24968,,,
Zimbabwe,ZWE,,,49.55658,49.50317,,,,,,,
